BVTV,DA,ROI Number,Scan,m1,m2,m3,Variation Coefficient,Group,OI Type,S11,S12,S13,S21,S22,S23,S31,S32,S33,S44,S55,S66
0.1514,1.9269999999999998,6,C0001792_SEG_UNCOMP,0.74778,0.81121,1.4410100000000001,0.16959938410722258,Control,,157.3016336714716,60.33559623735802,59.2858055833934,60.33559623735802,185.15993302206527,80.60419963249237,59.2858055833934,80.60419963249237,763.4969494125207,116.54484000050697,94.59436399311231,70.77255711813669
0.2999,1.9809999999999999,1,C0001944_SEG_UNCOMP,0.72621,0.83515,1.43864,0.09017319559522838,Control,,701.9809787719945,303.13708821402076,297.28012109756696,303.13708821402076,845.3103589979431,336.8334328058492,297.28012109756696,336.8334328058492,2181.983608536547,457.3186187585115,389.0469030765549,285.40524409913706
0.3608,2.327,2,C0001944_SEG_UNCOMP,0.61729,0.94647,1.43624,0.10242035339462706,Control,,735.0501103186485,372.7029046535483,339.1072875988184,372.7029046535483,1710.1877219598764,580.0150905610693,339.1072875988184,580.0150905610698,2858.9600397237987,767.8913743855906,415.2415058908703,352.9862635188627
0.2767,2.186,3,C0001944_SEG_UNCOMP,0.64237,0.9535100000000001,1.40412,0.054672698445830274,Control,,386.06127555630906,203.50132931604512,176.10216710499836,203.50132931604512,864.2562339294051,303.64830471340423,176.10216710499822,303.64830471340423,1788.5919012861968,446.9534792300994,229.7359054442299,183.2350675483042
0.2163,2.364,4,C0001944_SEG_UNCOMP,0.60937,0.95011,1.44052,0.09494479107937988,Control,,200.54303750246586,107.81852939080983,97.84568858381004,107.81852939080983,514.8896755792695,177.5072930034082,97.84568858381004,177.5072930034082,1342.6499097186604,271.9585901265028,133.58639799468114,110.85464141157958
0.1987,2.175,5,C0001944_SEG_UNCOMP,0.64276,0.9591299999999999,1.39811,0.15467347319782854,Control,,205.06565677556011,112.48663540443005,95.22145728645653,112.48663540443005,469.3752371912683,170.54608787242316,95.22145728645653,170.54608787242316,1139.7282523975778,258.0346231967531,130.56667339067926,113.66102405078017
0.2776,2.259,6,C0001944_SEG_UNCOMP,0.63583,0.92771,1.43646,0.17874255465786754,Control,,380.6977335037046,180.22649259147195,168.07381720657074,180.22649259147178,920.7975417612565,314.5503650606152,168.07381720657074,314.5503650606152,1919.490921973139,458.6614450137414,231.4949428871387,180.21308523072807
0.1127,1.9240000000000002,1,C0001552_SEG_UNCOMP,0.70505,0.9383799999999999,1.35657,0.35353393122092003,Control,,78.78450130120241,30.240573362178004,24.8482961355335,30.240573362178004,141.26344187078212,46.10558331051946,24.8482961355335,46.10558331051946,382.75360870212376,76.8109941081384,45.83402393929559,40.17264627155073
0.2584,2.0140000000000002,2,C0001552_SEG_UNCOMP,0.7177100000000001,0.8369,1.44539,0.26252424088938675,Control,,514.1086086322356,211.48358734865351,214.39391555671605,211.48358734865351,776.4650225259506,279.2487394860391,214.39391555671605,279.2487394860391,1819.9890423087627,371.81611644329325,308.2674449893683,217.60092151715065
0.0783,1.801,3,C0001552_SEG_UNCOMP,0.73698,0.9357700000000001,1.32725,0.4634889884601389,Control,,27.435371182108245,10.570255582395205,8.66462992352713,10.570255582395205,59.24554443862531,15.930964082661259,8.66462992352713,15.930964082661259,173.52482749240116,29.050582237856773,15.375398846866005,16.307516003055166
0.2214,1.901,4,C0001552_SEG_UNCOMP,0.75957,0.7965,1.44393,0.2415541407805581,Control,,314.29573846936836,117.82232356115435,130.39678826145817,117.82232356115404,390.4432926343183,150.01862884394257,130.39678826145817,150.01862884394285,1380.5642853357099,222.97539360229516,211.82161084877418,128.8732791040127
0.0936,1.7930000000000001,5,C0001552_SEG_UNCOMP,0.74932,0.90728,1.3434,0.26491316010997684,Control,,39.44476694532506,14.29640005896468,15.551502789830572,14.29640005896468,65.71391440897665,24.35886850845959,15.551502789830572,24.35886850845959,224.82243414376708,36.289243347429164,24.10558262682958,19.937701356257307
0.2202,1.913,6,C0001552_SEG_UNCOMP,0.72837,0.8783200000000001,1.3933200000000001,0.29603843706148764,Control,,339.7910708225224,139.08122837293467,143.47214792299113,139.08122837293467,546.7708645306307,190.26342657773273,143.47214792299113,190.26342657773273,1348.5805034393009,273.95942018474443,203.08791315326044,165.53639814379858
0.1821,1.994,1,C0001896_SEG_UNCOMP,0.6822600000000001,0.9575799999999999,1.36016,0.17077865858058933,Control,,205.44046683394652,89.62271561952421,88.64679266700793,89.62271561952421,455.3880109388734,143.40018366124704,88.64679266700793,143.40018366124704,880.4731395207509,211.34066305136125,123.80445183427663,92.73919009354175
0.2025,1.999,2,C0001896_SEG_UNCOMP,0.66761,0.9975799999999999,1.33481,0.23326442825526075,Control,,283.1577431534143,120.0016951461369,127.80879118888168,120.0016951461369,566.301758297629,202.5571802643678,127.80879118888168,202.5571802643678,1043.2024613175445,300.08964077184,159.65608451396992,131.10772638402898
0.11199999999999999,1.614,3,C0001896_SEG_UNCOMP,0.77928,0.9632,1.25752,0.2861993946992137,Control,,111.7063341809688,37.86556521157174,41.51135043048476,37.86556521157174,183.2389022826744,61.06326738594759,41.51135043048476,61.06326738594759,344.2285114765102,94.86992363924914,60.5856882547285,52.87904247566774
0.2195,2.15,4,C0001896_SEG_UNCOMP,0.66789,0.8963399999999999,1.43577,0.18477405370319847,Control,,312.6078357584721,143.4355585668259,140.47115704727767,143.4355585668259,591.8389657500106,198.06122437126555,140.47115704727767,198.06122437126555,1433.7733654700744,307.2639733578606,198.6613798274474,157.53531895816678
0.3027,2.121,5,C0001896_SEG_UNCOMP,0.67167,0.9040100000000001,1.42432,0.18995653105519664,Control,,724.9865791512173,322.7401315835775,309.21234732555075,322.7401315835775,1337.1540394895098,426.70466173369124,309.21234732555024,426.70466173369124,2297.8337777640622,554.4172089598806,373.62327770799277,306.067120140918
0.2541,2.1390000000000002,6,C0001896_SEG_UNCOMP,0.6691,0.89992,1.43097,0.16636950977726558,Control,,428.61121635328493,228.13549388730087,197.6927214440548,228.13549388730087,814.6041118440982,278.89289864506407,197.6927214440548,278.89289864506407,1774.899463624268,409.33749556453046,264.4897442430929,213.80534144153222
0.2526,2.299,1,C0001862_SEG_UNCOMP,0.61452,0.9725799999999999,1.41289,0.1481718035663435,Control,,413.41295982522405,242.83181072775108,192.326936797955,242.83181072775108,1019.2311389930385,352.03477505730405,192.326936797955,352.03477505730405,1938.0652994542422,497.95602621960705,243.99080811570258,216.40187229672864
0.2934,2.296,2,C0001862_SEG_UNCOMP,0.63736,0.8992100000000001,1.46343,0.15726894490573154,Control,,595.7931741302116,288.70807344054435,244.93398417180683,288.70807344054487,1089.5251126368123,384.27179955990835,244.93398417180683,384.27179955990835,2296.570800695833,562.9124106602491,332.34336851621475,266.53105027395975
0.2306,2.046,3,C0001862_SEG_UNCOMP,0.69743,0.87565,1.42693,0.1977010667459164,Control,,441.4691154198515,232.58662898991045,188.09456126370486,232.58662898991045,731.3138775169245,257.1768615346729,188.09456126370486,257.1768615346729,1674.2404775353425,361.66735756255395,248.3144219399141,204.86387400998683
0.3275,2.303,4,C0001862_SEG_UNCOMP,0.62616,0.93176,1.44208,0.16526585574299746,Control,,693.8933960378484,351.8563557415309,310.4070450318221,351.8563557415309,1508.4498912249308,533.37016496329,310.4070450318221,533.37016496329,2679.0491543740454,742.2728197205765,378.5184989929562,301.4576448913114
0.2435,2.228,5,C0001862_SEG_UNCOMP,0.64131,0.92975,1.4289399999999999,0.1040029821784833,Control,,464.70289474803593,230.0897942568859,207.04740012808477,230.08979425688634,1010.5968124709997,355.7764494592157,207.04740012808477,355.7764494592157,1905.1562657608495,517.773578711799,267.93974546064436,202.05374962669137
0.1739,1.74,6,C0001862_SEG_UNCOMP,0.77468,0.87754,1.3477700000000001,0.12529798482623158,Control,,298.32474591813565,133.90182214449467,131.97910755370057,133.90182214449467,375.08009317144007,152.98197821033156,131.97910755370057,152.98197821033156,1006.1108905414328,204.65969672024744,161.28683277009594,124.95589485441381
0.1322,1.629,1,C0001696_SEG_UNCOMP,0.78532,0.93555,1.2791299999999999,0.21221198193132065,Control,,93.8158721698582,23.867928359149662,30.309632757673715,23.867928359149673,147.3292679529684,40.73519334308082,30.309632757673715,40.73519334308086,334.529219922893,62.604156114895,48.36913545903882,33.41089690636189
0.1454,1.619,2,C0001696_SEG_UNCOMP,0.7759199999999999,0.9676299999999999,1.25645,0.3101195140203118,Control,,106.49347850550046,34.105659385660225,30.603470289438096,34.105659385660225,178.6957106731498,43.26172227494273,30.603470289438096,43.26172227494273,369.8977538333058,74.84218470123422,50.61497360540383,48.05959315563759
0.1457,1.845,3,C0001696_SEG_UNCOMP,0.71315,0.9711799999999999,1.3156700000000001,0.21437579018157388,Control,,101.3898961486744,35.120219023970414,31.38620538915083,35.120219023970414,176.78298295212593,54.59070174324213,31.38620538915083,54.59070174324213,424.77476175631733,90.97204492229835,47.25017965974517,42.0593569265654
0.0859,1.787,4,C0001696_SEG_UNCOMP,0.74069,0.9359700000000001,1.32334,0.31910384389861435,Control,,32.835451724974796,12.369301536180213,11.752478128944006,12.369301536180213,64.31110333571381,16.947037165483632,11.75247812894401,16.947037165483632,225.6816116583908,32.462680104756295,20.681492107041755,18.694841631414654
0.2147,2.079,5,C0001696_SEG_UNCOMP,0.65649,0.9785,1.36501,0.18727396261790247,Control,,192.86860507360444,91.21456399352302,78.14695494876011,91.21456399352302,465.28119117859814,147.48550042768593,78.14695494876011,147.4855004276858,952.1183593602714,228.7408627991109,109.18456999058397,100.59261032558733
0.1888,1.906,6,C0001696_SEG_UNCOMP,0.6897,0.99564,1.31466,0.18663979600655325,Control,,146.57460869905105,54.45651336410425,56.481255348967835,54.45651336410425,331.9725690760451,94.74372566747304,56.48125534896778,94.74372566747304,684.0979077214573,161.92804981174126,84.8431147658499,68.4496165783009
0.3281,2.15,1,C0002094_SEG_UNCOMP,0.63334,1.0052299999999998,1.36143,0.13387987619983066,Control,,564.3508152563928,295.3270450390458,262.1699805575762,295.3270450390458,1639.1261506943122,517.9323985677614,262.1699805575762,517.9323985677614,2406.324608305346,701.7907067642558,317.27692309934116,270.7933085167967
