BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3,Variation Coefficient,Group
0.2461,1.939,402.1521984322163,568.7011695711086,1472.5937558950393,212.16747795205762,333.98558169823576,257.42300117072773,0.2871892630980193,0.0796589468035263,0.1127622526465148,2,C0002104_SEG_UNCOMP,0.72473,0.8699399999999999,1.40533,0.16402644886098866,Control
0.2242,2.099,461.04798501659934,552.6432432927023,1334.619961591088,138.17622018134708,327.0243033207461,198.4024238560108,0.21967963399882465,0.07033147407167444,0.13879478311379825,3,C0002104_SEG_UNCOMP,0.7004199999999999,0.82931,1.47027,0.15922198210530758,Control
0.1162,1.9680000000000002,94.22981974831642,115.40911857399564,503.7889000874598,50.46904558271197,86.25375670230261,71.34498796783049,0.33701549783209744,0.0580220107133315,0.06945517605226348,4,C0002104_SEG_UNCOMP,0.7306,0.8317,1.4377,0.2688555368384151,Control
0.3016,2.129,606.8260509751902,1277.3011945951268,2078.4945213676,333.6224369550938,632.5888181076085,386.877701676805,0.1836853207824856,0.0907599223347495,0.17078069313534894,5,C0002104_SEG_UNCOMP,0.66343,0.92389,1.41268,0.37933396254896296,Control
0.1239,2.081,98.14094136834144,134.35976837771855,542.4714068370862,53.80045326089901,94.36591903610693,59.618559026672706,0.3007092022538798,0.04854425809375045,0.0692927276358157,6,C0002104_SEG_UNCOMP,0.68169,0.89971,1.41861,0.1600101188232574,Control
0.1624,1.932,142.45541350649955,434.2935465910208,722.4672645144889,79.6385605904738,193.33722144460359,85.3336793909682,0.13747162992042758,0.0561620848836592,0.1341646951273568,1,C0001421_SEG_UNCOMP,0.6792199999999999,1.00852,1.31227,0.2974052527623887,Control
0.2442,1.942,357.44670348695547,720.2881564128529,1412.0289436434814,206.63392007599973,347.959455196048,230.7991300603309,0.21350038167817265,0.07816550504743068,0.1133850615604855,2,C0001421_SEG_UNCOMP,0.69914,0.94324,1.35762,0.13224664985857773,Control
0.3336,2.359,507.2700270664938,1387.98737837634,2471.7457043487384,281.6117676907233,748.9175764614607,348.0315408225817,0.15465404867928886,0.06600097886945944,0.15491574298486716,3,C0001421_SEG_UNCOMP,0.60378,0.97214,1.4240700000000002,0.09562707285033274,Control
0.302,2.181,421.7574345695868,994.9400534886388,1955.9224149829006,233.1028873485212,566.2393799873878,269.08753360609853,0.1722566758754538,0.06733110690507667,0.1411357340692244,4,C0001421_SEG_UNCOMP,0.6328699999999999,0.98714,1.37999,0.13793321658415394,Control
0.1864,2.09,171.26152181927813,353.31549351069657,929.0435555784964,91.07275680167648,222.32385589982502,129.13335142004132,0.18180345903361425,0.06357768062238635,0.10899354691100006,5,C0001421_SEG_UNCOMP,0.66328,0.95073,1.38599,0.26462657300663817,Control
0.3309,2.1919999999999997,559.0003159795423,1256.5421963871966,2304.3065946716097,300.4528468437635,605.748365781743,331.21233495352413,0.17753920027375247,0.07314431305875818,0.13815732631166044,6,C0001421_SEG_UNCOMP,0.64083,0.9543799999999999,1.40479,0.1833497438365701,Control
0.2878,2.023,544.4627997749393,1114.9690558486893,1804.9935365531878,260.8581652851302,547.4324099224469,310.4740699320392,0.1884365909427047,0.08929764458311007,0.15596127629581996,1,C0001934_SEG_UNCOMP,0.6672600000000001,0.983,1.34974,0.1945952806750316,Control
0.3032,1.949,672.1396602789282,846.6891959398065,1880.0516179051224,251.25983195507519,487.71453830816256,355.8770521778581,0.23096563773755546,0.09420595393998324,0.13338776653930454,2,C0001934_SEG_UNCOMP,0.72391,0.86529,1.4108100000000001,0.0817233792872152,Control
0.3073,2.089,605.9024021875088,1241.709566739482,2016.6059902788238,302.14388025776464,616.7487849991089,369.6281668338102,0.19345317501696327,0.0904836180401105,0.15580622508001854,3,C0001934_SEG_UNCOMP,0.6605300000000001,0.9595600000000001,1.37991,0.1898164569289925,Control
0.2898,1.868,511.7571585776082,813.6301740650896,1694.779405863206,257.64694916403045,467.922456068468,328.9560416865446,0.2374696778311813,0.09852709143621036,0.12988694581726162,4,C0001934_SEG_UNCOMP,0.72832,0.9111799999999999,1.3605,0.12796552414364962,Control
0.2395,1.7930000000000001,360.9880269702792,468.53930356466964,1201.380422410801,176.10729933730744,303.18088326419684,246.51782712770043,0.2745187593868982,0.0957052983200806,0.11007753082660388,5,C0001934_SEG_UNCOMP,0.7631,0.86892,1.36798,0.13501774275450462,Control
0.2504,1.8,412.4515765667493,538.0974790330329,1310.32677758185,194.1867633018372,332.00308820786626,272.93506960820383,0.2632466024446283,0.10347953512745278,0.11321259559042868,6,C0001934_SEG_UNCOMP,0.76043,0.8708600000000001,1.36871,0.16926706381713005,Control
0.2785,1.979,489.6039766954552,976.4248956863304,1691.3246178500542,226.28545411292092,460.94330487039286,247.0275772640001,0.17862633031688582,0.0814573749126037,0.1463504399530064,1,C0001890_SEG_UNCOMP,0.68708,0.9534299999999999,1.3594899999999999,0.15134836823267564,Control
0.1845,1.768,229.5925525109897,298.2931575210578,858.4931382708232,122.15120106571949,203.48766562520612,134.06643295910968,0.2739989844234206,0.06531395325928857,0.1208361672610642,2,C0001890_SEG_UNCOMP,0.77323,0.8598,1.36697,0.2476751563920262,Control
0.1844,1.901,250.06035971923183,302.0128675261268,1007.702162739416,87.43586453413087,155.3363524971692,167.62117926909295,0.21527869691812584,0.0932357368370402,0.07035034683892498,3,C0001890_SEG_UNCOMP,0.76535,0.7794399999999999,1.4552100000000001,0.17268073599691625,Control
