BV/TV,Degree of Anisotropy,ROI Number,Scan,Variation Coefficient
0.13,2.064,1,351001_C0000037_SEG_UNCOMP,0.2169415335956214
0.1578,2.054,2,351001_C0000037_SEG_UNCOMP,0.13410051569515458
0.1438,1.788,3,351001_C0000037_SEG_UNCOMP,0.17913540223982838
0.1402,2.483,4,351001_C0000037_SEG_UNCOMP,0.20362299542682158
0.1847,1.765,5,351001_C0000037_SEG_UNCOMP,0.1720363843336936
0.1464,2.257,6,351001_C0000037_SEG_UNCOMP,0.22148946802124855
0.0872,1.277,1,351002_C0000083_SEG_UNCOMP,0.5732815380186733
0.2303,1.639,2,351002_C0000083_SEG_UNCOMP,0.32377440737970353
0.0743,1.498,3,351002_C0000083_SEG_UNCOMP,0.617152966817017
0.09,1.475,4,351002_C0000083_SEG_UNCOMP,0.6114903346425689
0.2718,1.618,5,351002_C0000083_SEG_UNCOMP,0.26553506286925616
0.0887,1.6,6,351002_C0000083_SEG_UNCOMP,0.7558322946395398
0.0294,2.035,1,351101_C0000151_SEG_UNCOMP,0.7163915302220991
0.0859,1.959,2,351101_C0000151_SEG_UNCOMP,0.4540869187600297
0.1283,2.235,3,351101_C0000151_SEG_UNCOMP,0.3813625499925015
0.0104,1.479,4,351101_C0000151_SEG_UNCOMP,1.281990033549626
0.035,2.307,5,351101_C0000151_SEG_UNCOMP,1.0441338847391164
0.0672,2.017,6,351101_C0000151_SEG_UNCOMP,0.3712238798979693
0.395,2.332,1,351102_C0000226_SEG_UNCOMP,0.07958423002258301
0.4546,2.047,2,351102_C0000226_SEG_UNCOMP,0.12035329799328581
0.3715,1.969,3,351102_C0000226_SEG_UNCOMP,0.12338644586155396
0.4539,2.223,4,351102_C0000226_SEG_UNCOMP,0.14126803004982252
0.3534,2.094,5,351102_C0000226_SEG_UNCOMP,0.12629340871538589
0.4402,2.16,6,351102_C0000226_SEG_UNCOMP,0.14528668364906808
0.0879,2.391,1,351301_C0000034_SEG_UNCOMP,0.36291994185280935
0.0853,2.459,2,351301_C0000034_SEG_UNCOMP,0.5351969911975716
0.0664,1.822,3,351301_C0000034_SEG_UNCOMP,0.4427668859866822
0.1248,2.188,4,351301_C0000034_SEG_UNCOMP,0.3153860947442908
0.0443,2.4,5,351301_C0000034_SEG_UNCOMP,0.7021679404358865
0.0517,2.177,6,351301_C0000034_SEG_UNCOMP,0.6466287702636009
0.2915,2.489,1,351302_C0000051_SEG_UNCOMP,0.21953288624952627
0.1459,1.951,2,351302_C0000051_SEG_UNCOMP,0.2265029074200162
0.2184,2.418,3,351302_C0000051_SEG_UNCOMP,0.27759844885725243
0.1915,2.169,4,351302_C0000051_SEG_UNCOMP,0.26688376351711746
0.2807,2.478,5,351302_C0000051_SEG_UNCOMP,0.1697463626807684
0.222,1.995,6,351302_C0000051_SEG_UNCOMP,0.13083788314893163
0.0574,2.31,1,351303_C0000072_SEG_UNCOMP,0.44407281035872836
0.1016,2.409,2,351303_C0000072_SEG_UNCOMP,0.42482690187868766
0.097,2.562,3,351303_C0000072_SEG_UNCOMP,0.5426076122333128
0.0686,2.859,4,351303_C0000072_SEG_UNCOMP,0.45418289051407296
0.0782,2.722,5,351303_C0000072_SEG_UNCOMP,0.34305172754437424
0.0894,2.506,6,351303_C0000072_SEG_UNCOMP,0.6060939155800182
0.1666,2.175,1,351304_C0000089_SEG_UNCOMP,0.20546097359247956
0.1982,2.07,2,351304_C0000089_SEG_UNCOMP,0.11257574608478246
0.1779,2.055,3,351304_C0000089_SEG_UNCOMP,0.15389853649014745
0.167,2.298,4,351304_C0000089_SEG_UNCOMP,0.21162755477203407
0.0802,1.896,5,351304_C0000089_SEG_UNCOMP,0.19739036438743873
0.1292,2.102,6,351304_C0000089_SEG_UNCOMP,0.411744266395922
0.1047,1.627,1,351305_C0000122_SEG_UNCOMP,0.3885112635709706
0.1354,2.196,2,351305_C0000122_SEG_UNCOMP,0.282467967923213
0.0946,2.334,3,351305_C0000122_SEG_UNCOMP,0.3801074234554308
0.1106,2.232,4,351305_C0000122_SEG_UNCOMP,0.43256766925701085
0.0611,2.452,5,351305_C0000122_SEG_UNCOMP,0.6234916921618258
0.011,2.197,6,351305_C0000122_SEG_UNCOMP,1.540539183800017
0.0691,1.86,1,351306_C0000147_SEG_UNCOMP,0.2691286085728996
0.1567,2.004,2,351306_C0000147_SEG_UNCOMP,0.25332934800958257
0.202,1.995,3,351306_C0000147_SEG_UNCOMP,0.2262883937512147
0.0379,2.01,4,351306_C0000147_SEG_UNCOMP,0.5376101109038137
0.1578,2.205,5,351306_C0000147_SEG_UNCOMP,0.3644251139026547
0.0898,2.476,6,351306_C0000147_SEG_UNCOMP,0.6594569242976653
0.133,2.269,1,351308_C0000194_SEG_UNCOMP,0.5329240067508171
0.2212,2.298,2,351308_C0000194_SEG_UNCOMP,0.14565036750154337
0.2947,2.045,3,351308_C0000194_SEG_UNCOMP,0.37943685503171126
0.1982,2.245,4,351308_C0000194_SEG_UNCOMP,0.17271899949214398
0.2084,2.125,5,351308_C0000194_SEG_UNCOMP,0.22438992917561798
0.2975,2.282,6,351308_C0000194_SEG_UNCOMP,0.3386373107709552
0.2252,1.869,1,351310_C0000159_SEG_UNCOMP,0.21055773435500755
0.1508,2.037,2,351310_C0000159_SEG_UNCOMP,0.21261575417202172
0.2232,1.784,3,351310_C0000159_SEG_UNCOMP,0.1415583821129736
0.2065,2.056,4,351310_C0000159_SEG_UNCOMP,0.2770568425314174
0.1385,1.595,5,351310_C0000159_SEG_UNCOMP,0.36619178733769703
0.2774,1.841,6,351310_C0000159_SEG_UNCOMP,0.19687120941150918
0.1301,2.071,1,351311_C0000220_SEG_UNCOMP,0.6511534182515046
0.1706,2.3,2,351311_C0000220_SEG_UNCOMP,0.536597650956594
0.1211,2.534,3,351311_C0000220_SEG_UNCOMP,0.2580250607945176
0.1497,2.546,4,351311_C0000220_SEG_UNCOMP,0.33526392430159113
0.0863,2.563,5,351311_C0000220_SEG_UNCOMP,0.5308171582638167
0.1287,2.385,6,351311_C0000220_SEG_UNCOMP,0.5730716440889504
