ROI Number,Scan,BV/TV,SMI,Mean Tb N,Mean Tb Sp,Std Tb Sp,Min Tb Sp,Max Tb Sp,Mean Tb Th,Std Tb Th,Min Tb Th,Max Tb Th,Coefficient of Variation
6,350608_C0000085_SEG_UNCOMP,0.16683279459670214,0.9663888630263264,0.0450182489138,16.8929252531,4.24314898309,2.0,27.8567771912,5.32028881293,1.4255718471099998,2.0,14.1421356201,0.1834500014261601
1,350701_C0000082_SEG_UNCOMP,0.17823902297910876,0.7452277631331072,0.045998207492500005,16.7425602979,6.216850261549999,2.0,35.8329467773,4.99741729066,1.21913705759,2.0,12.0,0.2640889596362295
2,350701_C0000082_SEG_UNCOMP,0.1972530720565485,0.486712401912313,0.0453731939829,16.8666141257,5.16024926789,2.0,29.120439529400002,5.1728305820300005,1.13170292611,2.0,10.0,0.07152553812283513
3,350701_C0000082_SEG_UNCOMP,0.13027469279434514,1.1486689258082472,0.0366597036034,22.126627653000003,7.89047623016,2.0,43.3128166199,5.15127974142,1.23754322511,2.0,10.770329475399999,0.2565933493263334
4,350701_C0000082_SEG_UNCOMP,0.05798388821110091,1.7902811374252157,0.0254661499976,35.0143758296,18.3353220928,2.0,70.4840393066,4.2534365446499995,0.9497443440539999,2.0,6.63324975967,0.6038584041352747
5,350701_C0000082_SEG_UNCOMP,0.10083703321720099,1.2547865544138703,0.0368606599036,22.8117218971,7.16538353721,2.0,39.6988677979,4.3174722795,0.882784921427,2.0,7.2111024856600014,0.16607685160069308
6,350701_C0000082_SEG_UNCOMP,0.14808130101752048,1.0880511412209155,0.044503675846,17.5965861953,5.1733043833800005,2.0,38.2099456787,4.87346781684,1.03377664181,2.0,8.4852809906,0.1910132721698428
1,350701_C0000083_SEG_UNCOMP,0.08719043606223352,1.2595988534569127,0.024738995888900002,35.2233139393,18.5849338688,2.0,70.3704452515,5.1986985179300005,1.5177686109,2.0,9.16515159607,0.5732815380186733
2,350701_C0000083_SEG_UNCOMP,0.2302674607267285,0.5059825228349069,0.0397037112119,18.31891256,9.07856797322,2.0,44.181442260699995,6.86764984125,2.58027626581,2.0,14.696938514700001,0.32377440737970353
3,350701_C0000083_SEG_UNCOMP,0.07429062849811968,1.365882284275031,0.0215339757765,41.3794772883,23.6951952604,2.0,78.5875320435,5.05876571784,1.54738953053,2.0,9.7979593277,0.617152966817017
4,350701_C0000083_SEG_UNCOMP,0.09004395839360056,1.290332992833481,0.0260869608579,33.1794078194,17.7230517561,2.0,64.1248779297,5.1539191421399995,1.50295244107,2.0,8.94427204132,0.6114903346425689
5,350701_C0000083_SEG_UNCOMP,0.2717512294514948,0.15724413175474022,0.041161432475900005,16.7084648383,7.95799111105,2.0,49.030601501499994,7.58612210511,2.9802656216400005,2.0,16.1245155334,0.26553506286925616
6,350701_C0000083_SEG_UNCOMP,0.08870445369590099,1.3517727270225937,0.018373274910400004,48.0090668015,27.521631889899997,2.0,94.6784057617,6.4178116332599995,2.40879273434,2.0,12.328827858,0.7558322946395398
1,350702_C0000096_SEG_UNCOMP,0.035179292389349366,1.7895068085455716,0.011944554558500001,78.32985468470001,40.6086048167,2.0,130.62924194299998,5.390303744110001,1.4644052489300001,2.0,11.4891252518,0.9061441208178355
2,350702_C0000096_SEG_UNCOMP,0.03050832002213642,1.6476490103017611,0.0084059011249,113.516270471,44.8604381429,2.0,145.739486694,5.4477745657200005,1.33425731313,2.0,8.717798233029999,1.3599793424697253
3,350702_C0000096_SEG_UNCOMP,0.03293577923956381,1.771536123167239,0.013158063925100001,70.7987729061,27.3755941814,2.0,103.49879455600001,5.20024987512,1.18224737901,2.0,8.0,1.0869096607232638
4,350702_C0000096_SEG_UNCOMP,0.055219980630636295,1.5824138574784787,0.0206095925149,43.062273239700005,11.3796462525,2.0,56.8506813049,5.4588219385,1.48239838181,2.0,10.0,0.3354227804222256
5,350702_C0000096_SEG_UNCOMP,0.06396606588099163,1.6009991360666769,0.019245209927,46.5181931091,21.4752753887,2.0,89.3308486938,5.442788547819999,1.31111447637,2.0,8.717798233029999,0.5083593021261764
6,350702_C0000096_SEG_UNCOMP,0.0899794986604953,1.8222759017030183,0.0186907944783,44.8241451878,18.3561061376,2.0,73.4846954346,8.67812841329,4.73981086853,2.0,18.439088821400002,0.7311119956723576
1,350703_C0000118_SEG_UNCOMP,0.16966587847610906,0.923108572776637,0.0394927333588,19.5236291666,8.3968859215,2.0,48.3321838379,5.79748474354,1.62430364162,2.0,12.6491107941,0.30695046536977005
2,350703_C0000118_SEG_UNCOMP,0.0802350736413146,1.1789124083139428,0.025454481216099997,34.3361251487,13.047799378399999,2.0,62.5459823608,4.949688280869999,1.12244546502,2.0,8.24621105194,0.45371620600322765
3,350703_C0000118_SEG_UNCOMP,0.013901291710163886,1.939706058394211,0.006881699019300001,140.48251063,50.7292832181,4.0,174.848510742,4.83044147586,0.9557122346349999,2.0,6.324555397030001,1.2584668241480277
4,350703_C0000118_SEG_UNCOMP,0.039817248795703516,1.3565348570041238,0.012903369944,72.56373020310001,25.257447219,2.0,102.019607544,4.935404080480001,1.33959522295,2.0,9.38083171844,0.5998658908299063
5,350703_C0000118_SEG_UNCOMP,0.26573446363213304,0.0559599783838486,0.0458724523679,15.1285985249,4.82465977899,2.0,25.768198013299997,6.670977220069999,1.85136158068,2.0,14.282856941199999,0.15687942999038584
6,350703_C0000118_SEG_UNCOMP,0.1503373916762046,0.9492965297357384,0.0323970284219,25.148219505100002,15.625820474000001,2.0,70.31358337399999,5.718809006819999,1.32090943803,2.0,10.0,0.3188420046244202
