ROI Number,Scan,BV/TV,SMI,Mean Tb N,Mean Tb Sp,Std Tb Sp,Min Tb Sp,Max Tb Sp,Mean Tb Th,Std Tb Th,Min Tb Th,Max Tb Th,Coefficient of Variation,Degree of Anisotropy
3,C0001821_SEG_UNCOMP,0.19476901404907745,0.018505857555883368,0.624297981109,1.26168029884,0.545297121913,0.121399998665,2.6514160633099997,0.340118890424,0.08489130791069999,0.121399998665,0.6537590026860001,0.3439418170797251,2.373
4,C0001821_SEG_UNCOMP,0.1219656759782158,0.07407134517553385,0.630998051234,1.28734946056,0.42707172200800003,0.121399998665,2.46115851402,0.29744148775400003,0.0712397309122,0.121399998665,0.542917311192,0.2578510535983407,1.983
5,C0001821_SEG_UNCOMP,0.27645678996817885,-0.031655809130014034,0.814545059819,0.892698805105,0.28354552441799996,0.121399998665,1.97997415066,0.334980361253,0.0721198631941,0.121399998665,0.606999993324,0.11940800545390737,2.342
6,C0001821_SEG_UNCOMP,0.14058353352534994,0.06340149563738823,0.58771719757,1.37657870951,0.604761340055,0.121399998665,3.27780008316,0.324919909438,0.07670398538760001,0.121399998665,0.686742067337,0.390050783474762,1.924
1,C0001831_SEG_UNCOMP,0.16295263310148786,0.03207183609264723,0.74332403112,1.06580583621,0.335266653305,0.121399998665,2.4279999733,0.279502479048,0.0757787053605,0.121399998665,0.542917311192,0.25439735019966536,2.181
2,C0001831_SEG_UNCOMP,0.0656530242620147,0.09784941039721944,0.590290464531,1.46490242315,0.605341427166,0.121399998665,3.6601648330699996,0.229178813271,0.0608803359619,0.121399998665,0.43771392107,0.3349042615980476,1.617
3,C0001831_SEG_UNCOMP,0.1349079326348623,0.05918638765265208,0.723518995579,1.10257596953,0.300934705037,0.121399998665,1.89243865013,0.27955774929099997,0.0794255237363,0.121399998665,0.500545024872,0.3330365448456988,1.72
4,C0001831_SEG_UNCOMP,0.09788131862603296,0.06689070645930255,0.571668852112,1.49502555403,0.6706455601820001,0.121399998665,3.54146909714,0.254238895667,0.065795354409,0.121399998665,0.500545024872,0.3004136276354536,2.135
5,C0001831_SEG_UNCOMP,0.06881155118417244,0.09420036165029344,0.541226737255,1.6172085764300002,0.801738731993,0.121399998665,3.5185062885300002,0.230445892879,0.0562956032043,0.121399998665,0.383900523186,0.35482656677119173,1.576
6,C0001831_SEG_UNCOMP,0.06850654659338172,0.08045057312432853,0.44372119846,2.03518067965,1.51269698562,0.121399998665,5.39649963379,0.218486721122,0.0548292918711,0.121399998665,0.43771392107,0.5171467625946999,1.945
1,C0001839_SEG_UNCOMP,0.15430245135648432,0.03583459423113946,0.670901372841,1.19908258221,0.40846920941799997,0.121399998665,2.39745783806,0.291449469866,0.0674431937157,0.121399998665,0.500545024872,0.13948660704478594,1.839
2,C0001839_SEG_UNCOMP,0.25117128051618104,-0.006928307267163107,0.8037732270479999,0.896033242936,0.266386767347,0.121399998665,1.506534338,0.348098766379,0.113195280387,0.121399998665,0.908474445343,0.10619432825632356,2.221
3,C0001839_SEG_UNCOMP,0.2618637352685927,-0.01572428405843278,0.869097024991,0.8318743777169999,0.240335154601,0.121399998665,1.47689473629,0.318745140294,0.07579606883060001,0.121399998665,0.606999993324,0.16447725235747157,2.243
4,C0001839_SEG_UNCOMP,0.15278214496836756,0.04390683964659282,0.6210239204670001,1.29263459317,0.521133649784,0.121399998665,2.79483771324,0.317609339543,0.0775804401618,0.121399998665,0.606999993324,0.28968612401392296,2.087
5,C0001839_SEG_UNCOMP,0.17810853132428595,0.019819358335992455,0.634456966083,1.2468422028,0.41061084818899996,0.121399998665,2.08864450455,0.329308826278,0.094533893937,0.121399998665,0.738447368145,0.08966346635339892,2.34
6,C0001839_SEG_UNCOMP,0.19367477077490036,0.02140753446939463,0.643026612153,1.2059733048299999,0.406649671014,0.121399998665,2.21534204483,0.349172284951,0.088873243595,0.121399998665,0.7078775167470001,0.16269756063818946,2.11
1,C0001844_SEG_UNCOMP,0.2038216760788359,0.028901183029757686,0.916093342059,0.8049973545550001,0.23449018439,0.121399998665,1.54516971111,0.286594467031,0.0655848019625,0.121399998665,0.542917311192,0.15909215370640087,1.944
2,C0001844_SEG_UNCOMP,0.2697969990063768,-0.009678848732095777,0.962926496954,0.7218566132600001,0.229027851246,0.121399998665,1.71685528755,0.316644251721,0.0815457345655,0.121399998665,0.7182121276860001,0.17926897737516398,2.072
3,C0001844_SEG_UNCOMP,0.20290980668368824,0.009640420025838807,0.977398969754,0.764906632587,0.30654405674199997,0.121399998665,2.0637998580900003,0.258217015939,0.060146158969300006,0.121399998665,0.454237222672,0.1814455667126158,2.018
4,C0001844_SEG_UNCOMP,0.32685172374759464,-0.05504508317401575,0.981095961278,0.679610360038,0.281665061884,0.121399998665,1.80474078655,0.339657927131,0.10935820713099999,0.121399998665,0.767801046371,0.22664564703065768,2.074
5,C0001844_SEG_UNCOMP,0.2271875432351869,0.0024013167430665385,0.968478680839,0.7485130258920001,0.222970434051,0.121399998665,1.48187577724,0.28403422556999997,0.0812600484901,0.121399998665,0.594736099243,0.23045115496219745,2.092
6,C0001844_SEG_UNCOMP,0.2723958267825474,-0.025689579063948143,1.10986654724,0.616854295412,0.162104463366,0.121399998665,1.11925268173,0.28415493176600004,0.0764203737951,0.121399998665,0.6537590026860001,0.21188173089505635,2.146
1,C0001852_SEG_UNCOMP,0.30934383136076066,-0.04082973628917748,0.9879718659289999,0.699543661761,0.20436368139000002,0.121399998665,1.35729324818,0.312630909688,0.0650476961828,0.121399998665,0.556324720383,0.12917056204466598,2.605
2,C0001852_SEG_UNCOMP,0.2830018111612814,-0.045365529301394134,0.872362472564,0.839409501234,0.287180208225,0.121399998665,1.63777554035,0.306902990936,0.06002739791950001,0.121399998665,0.500545024872,0.1318295332240028,2.438
3,C0001852_SEG_UNCOMP,0.3501216873985939,-0.07224128360756607,1.0351828383200001,0.646135507622,0.19377952885000002,0.121399998665,1.44154512882,0.31987741587900004,0.0675723450122,0.121399998665,0.606999993324,0.11235116947379607,2.751
4,C0001852_SEG_UNCOMP,0.2969880010565107,-0.04517161347140114,0.940929800477,0.7513695190549999,0.19681062554099998,0.121399998665,1.45679998398,0.311409021377,0.0672562930421,0.121399998665,0.594736099243,0.14670426819099433,2.107
5,C0001852_SEG_UNCOMP,0.2540546744311822,-0.02195067410899687,0.933654798431,0.787487116311,0.20674635693100002,0.121399998665,1.34090673923,0.28357255336599996,0.0560881879732,0.121399998665,0.500545024872,0.11076996376926912,2.118
6,C0001852_SEG_UNCOMP,0.33018633579433265,-0.07194885824772503,0.954914704165,0.7312182497030001,0.254372610317,0.121399998665,1.45679998398,0.31599570106999997,0.06700830886800001,0.121399998665,0.556324720383,0.11991885369487129,2.414
1,C0001856_SEG_UNCOMP,0.1047847988227452,0.062297119456649085,0.6750088252580001,1.2439783970799998,0.554498764531,0.121399998665,2.9060025215099996,0.237483715088,0.055306613031099995,0.121399998665,0.48559999465899994,0.1427773244793427,1.957
2,C0001856_SEG_UNCOMP,0.1930144515577245,0.011410813235506865,0.8895857940270001,0.8611562441410001,0.380588876421,0.121399998665,2.62908792496,0.262962426272,0.066977151848,0.121399998665,0.500545024872,0.3046729122593729,2.159
3,C0001856_SEG_UNCOMP,0.11078427056737147,0.054062598409436266,0.730758562019,1.1338616832600001,0.392961875619,0.121399998665,2.15463614464,0.23457934770999997,0.060067695529300004,0.121399998665,0.42054191231700006,0.16155121538650052,1.897
4,C0001856_SEG_UNCOMP,0.15437162765542653,0.033730139969283035,0.731215757506,1.09887709473,0.351876070712,0.121399998665,2.3696334362,0.268708313182,0.0626344917433,0.121399998665,0.454237222672,0.13106162738256918,2.265
5,C0001856_SEG_UNCOMP,0.11237532544304277,0.06327359642307709,0.8145170316329999,0.996028137102,0.273535831208,0.121399998665,1.84112215042,0.231693274683,0.0559666823392,0.121399998665,0.500545024872,0.20835831989850043,1.985
6,C0001856_SEG_UNCOMP,0.10031349440929732,0.05994543225314819,0.658760444071,1.28409279328,0.604825023051,0.121399998665,3.44014286995,0.23390970519999998,0.053479292761000004,0.121399998665,0.40263825655,0.07861092783266851,2.256
1,C0001862_SEG_UNCOMP,0.25256738400392426,-0.025158161195486528,0.696680086992,1.08496333699,0.37438454178400005,0.121399998665,2.23850536346,0.35041571096600005,0.0852920822425,0.121399998665,0.697389900684,0.1481718035663435,2.299
2,C0001862_SEG_UNCOMP,0.29339240570012703,-0.05005660065970503,0.806984697686,0.888987161659,0.302784216664,0.121399998665,2.1512134075200002,0.350193708644,0.11516800988600001,0.121399998665,0.9787580966949999,0.15726894490573157,2.296
3,C0001862_SEG_UNCOMP,0.23064950255952316,-0.006664295549723866,0.666009554255,1.14997919791,0.500040019969,0.121399998665,2.8881976604500004,0.35150076376199996,0.0784643238664,0.121399998665,0.6537590026860001,0.19770106674591637,2.046
4,C0001862_SEG_UNCOMP,0.3275199039078319,-0.07680276438264265,0.835372060929,0.857038181335,0.35568472296400006,0.121399998665,2.08864450455,0.340033215675,0.07843996756360001,0.121399998665,0.6537590026860001,0.16526585574299746,2.303
5,C0001862_SEG_UNCOMP,0.24348642257914396,-0.029650952190838232,0.656728064683,1.1723633130700002,0.378993942785,0.121399998665,1.8610267639200002,0.35033695478200005,0.0978376498105,0.121399998665,0.892104148865,0.1040029821784833,2.228
6,C0001862_SEG_UNCOMP,0.17394694806746572,0.03161926939238648,0.717187226992,1.0915878522600002,0.293425487215,0.121399998665,1.80474078655,0.302748190496,0.0647381088232,0.121399998665,0.500545024872,0.12529798482623158,1.74
1,C0001867_SEG_UNCOMP,0.2905215892940245,-0.03173040528076025,1.0119348649200002,0.6763877716050001,0.174764195853,0.121399998665,1.31314182281,0.311818124508,0.0758838318641,0.121399998665,0.619020938873,0.14209431049687607,2.064
2,C0001867_SEG_UNCOMP,0.2570606990579447,-0.0015898072606734988,0.9462095478460001,0.738056458248,0.208049387581,0.121399998665,1.4967197179799998,0.31879189239100003,0.08816712334830001,0.121399998665,0.686742067337,0.17470072927270663,1.88
3,C0001867_SEG_UNCOMP,0.28843215062824656,-0.016358772717830542,0.9580292526299999,0.700475766022,0.189946460125,0.121399998665,1.38417291641,0.34333369726499996,0.10682697897900001,0.121399998665,0.823374867439,0.1679444838173128,1.915
4,C0001867_SEG_UNCOMP,0.27607317594677194,-0.02191611240618565,0.998342036531,0.696864135449,0.165572049822,0.121399998665,1.2200548648799998,0.304796581428,0.0753150554789,0.121399998665,0.6537590026860001,0.10814752987151988,2.132
5,C0001867_SEG_UNCOMP,0.279635755342297,-0.017920282387404587,0.971384507684,0.710232144438,0.19734222839,0.121399998665,1.33539998531,0.319226316232,0.08049595373650001,0.121399998665,0.594736099243,0.08070375940492971,2.113
