$ROINumber;$Scan;$XPos;$XRange;$YPos;$YRange;$ZPos;$ZRange;
6;C0001911_SEG_UNCOMP;247;87;227;87;379;87;
1;C0001922_SEG_UNCOMP;329;87;166;87;357;87;
2;C0001922_SEG_UNCOMP;206;87;283;87;351;87;
3;C0001922_SEG_UNCOMP;406;87;278;87;345;87;
4;C0001922_SEG_UNCOMP;322;87;259;87;399;87;
5;C0001922_SEG_UNCOMP;349;87;325;87;376;87;
6;C0001922_SEG_UNCOMP;334;87;356;87;391;87;
1;C0001927_SEG_UNCOMP;392;87;394;87;361;87;
2;C0001927_SEG_UNCOMP;592;87;330;87;367;87;
3;C0001927_SEG_UNCOMP;371;87;227;87;349;87;
4;C0001927_SEG_UNCOMP;354;87;294;87;392;87;
5;C0001927_SEG_UNCOMP;376;87;131;87;407;87;
6;C0001927_SEG_UNCOMP;364;87;184;87;405;87;
1;C0001934_SEG_UNCOMP;244;87;327;87;369;87;
2;C0001934_SEG_UNCOMP;474;87;452;87;373;87;
3;C0001934_SEG_UNCOMP;234;87;337;87;344;87;
4;C0001934_SEG_UNCOMP;577;87;363;87;376;87;
5;C0001934_SEG_UNCOMP;539;87;348;87;396;87;
6;C0001934_SEG_UNCOMP;549;87;341;87;378;87;
1;C0001944_SEG_UNCOMP;355;87;437;87;355;87;
2;C0001944_SEG_UNCOMP;568;87;404;87;370;87;
3;C0001944_SEG_UNCOMP;372;87;226;87;342;87;
4;C0001944_SEG_UNCOMP;403;87;348;87;408;87;
5;C0001944_SEG_UNCOMP;417;87;274;87;408;87;
6;C0001944_SEG_UNCOMP;309;87;273;87;386;87;
1;C0001950_SEG_UNCOMP;398;87;396;87;358;87;
2;C0001950_SEG_UNCOMP;570;87;373;87;351;87;
3;C0001950_SEG_UNCOMP;533;87;410;87;348;87;
4;C0001950_SEG_UNCOMP;330;87;195;87;409;87;
5;C0001950_SEG_UNCOMP;314;87;367;87;387;87;
6;C0001950_SEG_UNCOMP;509;87;423;87;390;87;
1;C0001954_SEG_UNCOMP;464;87;125;87;341;87;
2;C0001954_SEG_UNCOMP;541;87;207;87;344;87;
3;C0001954_SEG_UNCOMP;361;87;283;87;360;87;
4;C0001954_SEG_UNCOMP;376;87;146;87;393;87;
5;C0001954_SEG_UNCOMP;458;87;129;87;396;87;
6;C0001954_SEG_UNCOMP;472;87;371;87;402;87;
1;C0001962_SEG_UNCOMP;550;87;313;87;363;87;
2;C0001962_SEG_UNCOMP;470;87;244;87;374;87;
3;C0001962_SEG_UNCOMP;541;87;348;87;364;87;
4;C0001962_SEG_UNCOMP;314;87;173;87;376;87;
5;C0001962_SEG_UNCOMP;451;87;198;87;401;87;
6;C0001962_SEG_UNCOMP;243;87;389;87;386;87;
1;C0001971_SEG_UNCOMP;234;87;305;87;341;87;
2;C0001971_SEG_UNCOMP;439;87;147;87;368;87;
3;C0001971_SEG_UNCOMP;449;87;205;87;350;87;
4;C0001971_SEG_UNCOMP;277;87;328;87;401;87;
5;C0001971_SEG_UNCOMP;316;87;137;87;389;87;
6;C0001971_SEG_UNCOMP;294;87;194;87;391;87;
1;C0001974_SEG_UNCOMP;400;87;337;87;364;87;
2;C0001974_SEG_UNCOMP;411;87;308;87;350;87;
3;C0001974_SEG_UNCOMP;465;87;235;87;374;87;
4;C0001974_SEG_UNCOMP;208;87;251;87;404;87;
5;C0001974_SEG_UNCOMP;484;87;275;87;383;87;
6;C0001974_SEG_UNCOMP;215;87;153;87;379;87;
1;C0001982_SEG_UNCOMP;324;87;387;87;347;87;
