$ROINumber;$Scan;$XPos;$XRange;$YPos;$YRange;$ZPos;$ZRange;
1;351304_C0000089_SEG_UNCOMP;248;87;276;87;5;87;
2;351304_C0000089_SEG_UNCOMP;296;87;321;87;27;87;
3;351304_C0000089_SEG_UNCOMP;337;87;172;87;25;87;
4;351304_C0000089_SEG_UNCOMP;319;87;245;87;54;87;
5;351304_C0000089_SEG_UNCOMP;193;87;68;87;42;87;
6;351304_C0000089_SEG_UNCOMP;96;87;274;87;65;87;
1;351304_C0000091_SEG_UNCOMP;108;87;235;87;35;87;
2;351304_C0000091_SEG_UNCOMP;307;87;326;87;7;87;
3;351304_C0000091_SEG_UNCOMP;149;87;204;87;30;87;
4;351304_C0000091_SEG_UNCOMP;101;87;173;87;74;87;
5;351304_C0000091_SEG_UNCOMP;275;87;292;87;60;87;
6;351304_C0000091_SEG_UNCOMP;316;87;146;87;73;87;
1;351305_C0000122_SEG_UNCOMP;358;87;131;87;3;87;
2;351305_C0000122_SEG_UNCOMP;87;87;270;87;3;87;
3;351305_C0000122_SEG_UNCOMP;149;87;353;87;20;87;
4;351305_C0000122_SEG_UNCOMP;98;87;213;87;42;87;
5;351305_C0000122_SEG_UNCOMP;137;87;309;87;80;87;
6;351305_C0000122_SEG_UNCOMP;252;87;291;87;57;87;
1;351308_C0000194_SEG_UNCOMP;196;87;303;87;2;87;
2;351308_C0000194_SEG_UNCOMP;109;87;163;87;21;87;
3;351308_C0000194_SEG_UNCOMP;114;87;315;87;29;87;
4;351308_C0000194_SEG_UNCOMP;153;87;197;87;42;87;
5;351308_C0000194_SEG_UNCOMP;159;87;255;87;76;87;
6;351308_C0000194_SEG_UNCOMP;94;87;222;87;72;87;
1;351301_C0000034_SEG_UNCOMP;255;87;248;87;22;87;
2;351301_C0000034_SEG_UNCOMP;275;87;239;87;32;87;
3;351301_C0000034_SEG_UNCOMP;115;87;155;87;36;87;
4;351301_C0000034_SEG_UNCOMP;102;87;189;87;51;87;
5;351301_C0000034_SEG_UNCOMP;333;87;94;87;52;87;
6;351301_C0000034_SEG_UNCOMP;305;87;163;87;43;87;
1;351001_C0000037_SEG_UNCOMP;219;87;222;87;1;87;
2;351001_C0000037_SEG_UNCOMP;151;87;230;87;16;87;
3;351001_C0000037_SEG_UNCOMP;361;87;348;87;14;87;
4;351001_C0000037_SEG_UNCOMP;185;87;142;87;53;87;
5;351001_C0000037_SEG_UNCOMP;145;87;350;87;52;87;
6;351001_C0000037_SEG_UNCOMP;172;87;152;87;61;87;
1;999998_C0000220_SEG_UNCOMP;139;87;159;87;24;87;
2;999998_C0000220_SEG_UNCOMP;149;87;137;87;33;87;
3;999998_C0000220_SEG_UNCOMP;161;87;383;87;21;87;
4;999998_C0000220_SEG_UNCOMP;190;87;83;87;78;87;
5;999998_C0000220_SEG_UNCOMP;435;87;308;87;71;87;
6;999998_C0000220_SEG_UNCOMP;226;87;98;87;44;87;
1;351102_C0000226_SEG_UNCOMP;385;87;179;87;34;87;
2;351102_C0000226_SEG_UNCOMP;161;87;129;87;3;87;
3;351102_C0000226_SEG_UNCOMP;167;87;216;87;35;87;
4;351102_C0000226_SEG_UNCOMP;227;87;150;87;55;87;
5;351102_C0000226_SEG_UNCOMP;85;87;236;87;42;87;
6;351102_C0000226_SEG_UNCOMP;317;87;310;87;50;87;
1;350107_C0000104_SEG_UNCOMP;214;87;132;87;17;87;
2;350107_C0000104_SEG_UNCOMP;168;87;240;87;6;87;
3;350107_C0000104_SEG_UNCOMP;82;87;186;87;12;87;
4;350107_C0000104_SEG_UNCOMP;190;87;108;87;57;87;
5;350107_C0000104_SEG_UNCOMP;166;87;144;87;70;87;
6;350107_C0000104_SEG_UNCOMP;105;87;155;87;58;87;
1;350108_C0000130_SEG_UNCOMP;203;87;182;87;15;87;
2;350108_C0000130_SEG_UNCOMP;400;87;279;87;35;87;
3;350108_C0000130_SEG_UNCOMP;290;87;123;87;39;87;
4;350108_C0000130_SEG_UNCOMP;198;87;312;87;58;87;
5;350108_C0000130_SEG_UNCOMP;328;87;84;87;54;87;
6;350108_C0000130_SEG_UNCOMP;319;87;109;87;57;87;
1;350207_C0000137_SEG_UNCOMP;88;87;188;87;12;87;
2;350207_C0000137_SEG_UNCOMP;220;87;270;87;18;87;
3;350207_C0000137_SEG_UNCOMP;133;87;199;87;39;87;
4;350207_C0000137_SEG_UNCOMP;243;87;341;87;78;87;
5;350207_C0000137_SEG_UNCOMP;210;87;323;87;63;87;
6;350207_C0000137_SEG_UNCOMP;130;87;342;87;45;87;
1;350304_C0000179_SEG_UNCOMP;85;87;282;87;35;87;
2;350304_C0000179_SEG_UNCOMP;247;87;106;87;8;87;
3;350304_C0000179_SEG_UNCOMP;74;87;242;87;14;87;
4;350304_C0000179_SEG_UNCOMP;362;87;136;87;67;87;
5;350304_C0000179_SEG_UNCOMP;136;87;303;87;64;87;
6;350304_C0000179_SEG_UNCOMP;64;87;238;87;66;87;
1;350407_C0000158_SEG_UNCOMP;207;87;302;87;3;87;
2;350407_C0000158_SEG_UNCOMP;534;87;276;87;33;87;
3;350407_C0000158_SEG_UNCOMP;522;87;288;87;28;87;
4;350407_C0000158_SEG_UNCOMP;152;87;283;87;80;87;
5;350407_C0000158_SEG_UNCOMP;199;87;236;87;41;87;
6;350407_C0000158_SEG_UNCOMP;508;87;271;87;76;87;
1;350606_C0000070_SEG_UNCOMP;360;87;344;87;21;87;
2;350606_C0000070_SEG_UNCOMP;501;87;225;87;22;87;
3;350606_C0000070_SEG_UNCOMP;329;87;271;87;27;87;
4;350606_C0000070_SEG_UNCOMP;396;87;338;87;69;87;
5;350606_C0000070_SEG_UNCOMP;460;87;285;87;49;87;
6;350606_C0000070_SEG_UNCOMP;230;87;292;87;71;87;
1;350703_C0000118_SEG_UNCOMP;123;87;215;87;19;87;
2;350703_C0000118_SEG_UNCOMP;101;87;96;87;24;87;
3;350703_C0000118_SEG_UNCOMP;194;87;62;87;34;87;
4;350703_C0000118_SEG_UNCOMP;194;87;122;87;60;87;
5;350703_C0000118_SEG_UNCOMP;120;87;291;87;42;87;
6;350703_C0000118_SEG_UNCOMP;156;87;250;87;56;87;
1;350705_C0000245_SEG_UNCOMP;212;87;335;87;22;87;
2;350705_C0000245_SEG_UNCOMP;322;87;227;87;29;87;
3;350705_C0000245_SEG_UNCOMP;307;87;308;87;12;87;
4;350705_C0000245_SEG_UNCOMP;256;87;185;87;41;87;
5;350705_C0000245_SEG_UNCOMP;173;87;273;87;63;87;
6;350705_C0000245_SEG_UNCOMP;219;87;296;87;48;87;
1;351310_C0000159_SEG_UNCOMP;151;87;290;87;2;87;
2;351310_C0000159_SEG_UNCOMP;176;87;140;87;37;87;
3;351310_C0000159_SEG_UNCOMP;142;87;255;87;10;87;
4;351310_C0000159_SEG_UNCOMP;137;87;137;87;45;87;
5;351310_C0000159_SEG_UNCOMP;294;87;101;87;43;87;
6;351310_C0000159_SEG_UNCOMP;99;87;225;87;43;87;
